Company ID;Type;MRR;Date of subscription;Expires on;Payment method;list_date_of_subscription_month
1181;new;199;8/3/2016;2/17/2017;monthly;08.2016
1013;new;199;7/27/2016;3/1/2017;monthly;07.2016
1063;new;199;7/22/2016;3/2/2017;monthly;07.2016
863;new;199;6/27/2016;3/5/2017;monthly;06.2016
1757;new;194;12/23/2016;12/31/2017;yearly;12.2016
197;renewal up;192;10/31/2016;10/31/2017;yearly;10.2016
983;new;187;10/25/2016;10/31/2017;yearly;10.2016
489;new;179;4/15/2016;4/17/2017;yearly;04.2016
454;new;179;3/8/2016;3/7/2017;yearly;03.2016
466;new;179;12/23/2016;2/23/2017;monthly;12.2016
1879;new;179;11/17/2016;3/1/2017;monthly;11.2016
1491;new;179;10/21/2016;2/23/2017;monthly;10.2016
1147;new;179;10/4/2016;3/5/2017;monthly;10.2016
693;new;179;9/20/2016;2/20/2017;monthly;09.2016
1159;new;179;8/30/2016;3/2/2017;monthly;08.2016
675;new;179;4/28/2016;3/3/2017;monthly;04.2016
1219;upgrade;174;1/5/2017;3/4/2017;yearly;01.2017
551;upgrade;170;8/12/2016;1/11/2018;monthly;08.2016
327;upgrade;169;9/1/2016;3/9/2017;yearly;09.2016
415;new;169;3/1/2016;6/30/2017;yearly;03.2016
1991;new;167;11/24/2016;12/18/2017;yearly;11.2016
1097;new;166;7/27/2016;3/11/2017;yearly;07.2016
999;upgrade;165;12/6/2016;10/14/2017;yearly;12.2016
711;new;161;5/30/2016;5/14/2017;yearly;05.2016
109;new;161;2/1/2015;2/26/2017;monthly;02.2015
515;new;159;4/21/2016;2/27/2017;monthly;04.2016
269;new;159;1/5/2016;4/14/2016;monthly;01.2016
232;new;159;11/10/2015;3/2/2017;monthly;11.2015
1161;new;152;9/22/2016;9/30/2017;yearly;09.2016
189;renewal up;150;1/11/2017;1/16/2018;yearly;01.2017
1109;upgrade;150;11/30/2016;3/4/2017;monthly;11.2016
729;new;149;7/7/2016;5/31/2017;yearly;07.2016
853;new;149;6/15/2016;6/14/2017;yearly;06.2016
377;new;149;1/12/2016;1/14/2018;yearly;01.2016
271;new;149;1/6/2016;1/14/2018;yearly;01.2016
243;new;149;11/10/2015;12/31/2017;yearly;11.2015
2007;new;149;12/6/2016;12/5/2017;yearly;12.2016
1179;new;149;10/16/2016;11/8/2017;yearly;10.2016
943;new;143;9/26/2016;9/30/2017;yearly;09.2016
270;upgrade;140;3/8/2016;3/8/2017;monthly;03.2016
1961;new;134;11/22/2016;12/14/2017;yearly;11.2016
1255;new;134;8/31/2016;8/31/2017;yearly;08.2016
1185;new;129;9/2/2016;3/15/2017;monthly;09.2016
1267;new;129;8/31/2016;3/2/2017;monthly;08.2016
416;upgrade;127;8/1/2016;5/14/2017;yearly;08.2016
271;renewal up;113;1/11/2017;1/14/2018;yearly;01.2017
1517;new;111;10/5/2016;12/4/2017;yearly;10.2016
969;new;107;6/28/2016;6/30/2017;yearly;06.2016
190;new;107;10/1/2015;3/6/2017;monthly;10.2015
2117;new;103;12/21/2016;12/20/2017;yearly;12.2016
1215;new;103;8/10/2016;8/21/2017;yearly;08.2016
1517;upgrade;103;12/23/2016;12/4/2017;yearly;12.2016
863;upgrade;100;1/5/2017;3/5/2017;monthly;01.2017
495;upgrade;100;9/22/2016;2/22/2017;monthly;09.2016
1001;new;99;10/5/2016;3/10/2017;monthly;10.2016
819;new;99;9/29/2016;11/23/2016;monthly;09.2016
903;new;99;8/18/2016;3/14/2017;monthly;08.2016
571;new;99;8/3/2016;11/14/2016;monthly;08.2016
877;new;99;7/7/2016;3/6/2017;monthly;07.2016
460;new;99;6/27/2016;2/27/2017;monthly;06.2016
905;new;99;6/7/2016;2/27/2017;monthly;06.2016
222;new;99;5/23/2016;2/23/2017;monthly;05.2016
777;new;99;5/19/2016;2/17/2017;monthly;05.2016
529;new;99;4/26/2016;2/25/2017;monthly;04.2016
519;new;99;3/8/2016;3/2/2017;monthly;03.2016
495;new;99;3/1/2016;2/22/2017;monthly;03.2016
448;new;99;3/1/2016;3/4/2017;monthly;03.2016
425;new;99;2/16/2016;3/1/2017;monthly;02.2016
384;new;99;1/1/2016;3/14/2017;monthly;01.2016
411;upgrade;90;5/1/2016;2/28/2017;yearly;05.2016
1479;new;90;9/30/2016;10/31/2017;yearly;09.2016
737;upgrade;90;1/4/2017;5/16/2017;yearly;01.2017
1137;upgrade;90;11/3/2016;7/31/2017;yearly;11.2016
404;upgrade;90;11/3/2016;2/28/2018;yearly;11.2016
377;upgrade;90;8/1/2016;1/14/2018;yearly;08.2016
523;upgrade;89;12/10/2016;3/10/2017;monthly;12.2016
214;upgrade;87;5/1/2016;10/31/2017;yearly;05.2016
1293;upgrade;87;1/6/2017;10/31/2017;yearly;01.2017
